"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Allgemeine Geburtenrate","ausländisch","2017","24 Feldmoching - Hasenbergl","68.9","344","4992.5","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","25 Laim","65.6","283","4315.7","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","Stadt München","57.9","6853","118420.9","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","01 Altstadt - Lehel","36.2","59","1629.6","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","02 Ludwigsvorstadt - Isarvorstadt","36.4","177","4866.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","03 Maxvorstadt","39.1","183","4675.4","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","04 Schwabing - West","47.4","236","4983.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","05 Au - Haidhausen","51.2","213","4158.7","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","06 Sendling","51","152","2980.4","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","07 Sendling - Westpark","62.8","293","4662.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","08 Schwanthalerhöhe","45.5","122","2683.2","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","09 Neuhausen - Nymphenburg","57.4","395","6884.4","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","10 Moosach","70.9","305","4300.7","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2016","11 Milbertshofen - Am Hart","54.8","476","8687.3","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
