"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Einpersonenhaushalte","ausländisch","2015","02 Ludwigsvorstadt - Isarvorstadt","28.5","6034","21149","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","03 Maxvorstadt","24.8","5681","22880","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","04 Schwabing - West","21.2","5279","24934","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","05 Au - Haidhausen","23.2","5061","21805","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","06 Sendling","23.1","3428","14872","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","07 Sendling - Westpark","23.6","4231","17963","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","08 Schwanthalerhöhe","29.8","3221","10813","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","09 Neuhausen - Nymphenburg","21.4","6930","32435","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","10 Moosach","26.8","3862","14431","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","11 Milbertshofen - Am Hart","33.5","6792","20298","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","12 Schwabing - Freimann","24.2","5296","21882","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","13 Bogenhausen","22.5","5398","24007","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","14 Berg am Laim","26","3475","13382","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","15 Trudering - Riem","23.6","3105","13166","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","16 Ramersdorf - Perlach","28.2","7765","27580","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","17 Obergiesing - Fasangarten","25.7","4588","17831","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","18 Untergiesing - Harlaching","22.1","4090","18498","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","22.5","5805","25828","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","20 Hadern","23.2","2722","11740","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","21 Pasing - Obermenzing","22.8","4170","18302","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","22 Aubing - Lochhausen - Langwied","24.4","2158","8864","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","23 Allach - Untermenzing","25.6","1631","6365","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","24 Feldmoching - Hasenbergl","29.9","3880","12981","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2015","25 Laim","23","4497","19525","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","Stadt München","23.4","103116","440110","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","01 Altstadt - Lehel","27.2","2259","8306","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","02 Ludwigsvorstadt - Isarvorstadt","26.9","5535","20616","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","03 Maxvorstadt","23.2","5264","22686","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","04 Schwabing - West","20.2","4958","24522","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","05 Au - Haidhausen","22.2","4798","21609","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","06 Sendling","22","3204","14555","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","07 Sendling - Westpark","22.3","3918","17553","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","08 Schwanthalerhöhe","28.4","2986","10506","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
