"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","02 Ludwigsvorstadt - Isarvorstadt","7.3","620","8500","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","03 Maxvorstadt","5.3","391","7368","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","04 Schwabing - West","7.6","542","7172","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","05 Au - Haidhausen","7.2","508","7079","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","06 Sendling","8.8","449","5128","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","07 Sendling - Westpark","12","821","6850","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","08 Schwanthalerhöhe","7.8","378","4822","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","09 Neuhausen - Nymphenburg","8.8","892","10157","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","10 Moosach","12.4","794","6393","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","11 Milbertshofen - Am Hart","11.3","1270","11202","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","12 Schwabing - Freimann","9.6","721","7486","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","13 Bogenhausen","12.7","1048","8263","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","14 Berg am Laim","11.3","634","5606","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","15 Trudering - Riem","14.9","761","5099","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","16 Ramersdorf - Perlach","14.1","1947","13796","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","17 Obergiesing - Fasangarten","9.8","697","7091","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","18 Untergiesing - Harlaching","9.7","576","5911","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","13","1221","9404","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","20 Hadern","12.4","561","4511","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","21 Pasing - Obermenzing","11.3","727","6437","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","22 Aubing - Lochhausen - Langwied","13.5","505","3732","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","23 Allach - Untermenzing","11.7","313","2681","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","24 Feldmoching - Hasenbergl","13.6","937","6910","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2015","25 Laim","9.6","646","6757","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","Stadt München","10.8","17422","160654","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","01 Altstadt - Lehel","6.3","186","2976","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","02 Ludwigsvorstadt - Isarvorstadt","7.2","569","7864","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","03 Maxvorstadt","5.6","381","6863","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","04 Schwabing - West","7.2","492","6835","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","05 Au - Haidhausen","7","476","6772","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","06 Sendling","9.2","446","4875","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","07 Sendling - Westpark","11.9","760","6369","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","08 Schwanthalerhöhe","8.3","381","4598","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","09 Neuhausen - Nymphenburg","8.9","858","9611","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","10 Moosach","12.9","782","6067","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","11 Milbertshofen - Am Hart","11.9","1290","10839","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","12 Schwabing - Freimann","9.7","679","7023","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","13 Bogenhausen","12.7","962","7599","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2014","14 Berg am Laim","12.2","648","5321","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
